Film,Movie.Genre,Award,Year_of_Release,IMDB_Votes,IMDB.Rating,Movie.Time
Gigi,"Comedy,Musical,Romance",Winner,1958,21807,6.7,115
Auntie Mame,"Comedy,Drama,Romance",Nominee,1958,10825,7.9,143
Cat on a Hot Tin Roof,Drama,Nominee,1958,47222,8,108
The Defiant Ones,"Crime,Drama",Nominee,1958,14358,7.6,96
Separate Tables,"Drama,Romance",Nominee,1958,7248,7.4,100
Ben-Hur,"Adventure,Drama,History",Winner,1959,227894,8.1,212
Anatomy of a Murder,"Crime,Drama,Mystery",Nominee,1959,62835,8,161
The Diary of Anne Frank,"Biography,Drama,Family",Nominee,1959,12413,7.4,180
The Nun's Story,Drama,Nominee,1959,9968,7.6,149
Room at the Top,"Drama,Romance",Nominee,1959,5746,7.5,115
The Apartment,"Comedy,Drama,Romance",Winner,1960,171390,8.3,125
The Alamo,"Adventure,Drama,History",Nominee,1960,15189,6.8,162
Elmer Gantry,Drama,Nominee,1960,11043,7.8,146
Sons and Lovers,Drama,Nominee,1960,1506,7.1,103
The Sundowners,"Adventure,Drama",Nominee,1960,4031,7.1,133
West Side Story,"Crime,Drama,Musical",Winner,1961,101270,7.5,153
Fanny,"Drama,Romance",Nominee,1961,2121,6.9,134
The Guns of Navarone,"Action,Adventure,Drama",Nominee,1961,47296,7.5,158
The Hustler,"Drama,Sport",Nominee,1961,78871,8,134
Judgment at Nuremberg,"Drama,War",Nominee,1961,73363,8.2,179
Lawrence of Arabia,"Adventure,Biography,Drama",Winner,1962,278596,8.3,228
The Longest Day,"Action,Drama,History",Nominee,1962,53759,7.8,178
The Music Man,"Comedy,Family,Musical",Nominee,1962,16665,7.7,151
Mutiny on the Bounty,"Adventure,Drama,History",Winner,1962,15634,7.2,178
To Kill a Mockingbird,"Crime,Drama",Nominee,1962,303387,8.3,129
Tom Jones,"Adventure,Comedy,History",Winner,1963,12448,6.5,129
America America,Drama,Nominee,1963,5215,7.8,174
Cleopatra,"Biography,Drama,History",Nominee,1963,31027,7,192
How the West Was Won,Western,Nominee,1962,19741,7.1,164
Lilies of the Field,Drama,Nominee,1963,9751,7.6,94
My Fair Lady,"Drama,Family,Musical",Winner,1964,90361,7.8,170
Becket,"Biography,Drama,History",Nominee,1964,14231,7.8,148
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,Nominee,1964,466261,8.4,95
Mary Poppins,"Comedy,Family,Fantasy",Nominee,1964,163118,7.8,139
Zorba the Greek,"Comedy,Drama",Nominee,1964,21591,7.7,142
The Sound of Music,"Biography,Drama,Family",Winner,1965,215374,8,172
Darling,"Drama,Romance",Nominee,1965,6468,7.1,128
Doctor Zhivago,"Drama,Romance,War",Nominee,1965,72548,8,197
Ship of Fools,"Drama,Romance,War",Nominee,1965,5725,7.1,149
A Thousand Clowns,"Comedy,Drama,Romance",Nominee,1965,3349,7.4,118
A Man for All Seasons,"Biography,Drama,History",Winner,1966,33107,7.7,120
Alfie,"Comedy,Drama",Nominee,1966,14178,7,114
"The Russians Are Coming, the Russians Are Coming","Comedy,War",Nominee,1966,8473,7,126
The Sand Pebbles,"Adventure,Drama,Romance",Nominee,1966,14184,7.6,182
Who's Afraid of Virginia Woolf?,Drama,Nominee,1966,72597,8,131
In the Heat of the Night,"Crime,Drama,Mystery",Winner,1967,70719,7.9,110
Bonnie and Clyde,"Action,Biography,Crime",Nominee,1967,107803,7.8,111
Doctor Dolittle,"Adventure,Comedy,Family",Nominee,1967,9028,6.2,152
The Graduate,"Comedy,Drama,Romance",Nominee,1967,261921,8,106
Guess Who's Coming to Dinner,"Comedy,Drama",Nominee,1967,41907,7.8,108
Oliver!,"Drama,Family,Musical",Winner,1968,36386,7.4,153
Funny Girl,"Biography,Comedy,Drama",Nominee,1968,21174,7.4,151
The Lion in Winter,"Biography,Drama,History",Nominee,1968,30196,7.9,134
"Rachel, Rachel","Drama,Romance",Nominee,1968,3213,7.3,101
Romeo and Juliet,"Drama,Romance",Nominee,1968,30500,7.6,138
Midnight Cowboy,Drama,Winner,1969,106077,7.8,113
Anne of the Thousand Days,"Biography,Drama,History",Nominee,1969,7138,7.5,145
Butch Cassidy and the Sundance Kid,"Biography,Crime,Drama",Nominee,1969,208400,8,110
"Hello, Dolly!","Adventure,Comedy,Musical",Nominee,1969,14420,7.1,146
Z,"Crime,Drama,History",Nominee,1969,25227,8.3,127
Patton,"Biography,Drama,War",Winner,1970,98155,7.9,172
Airport,"Action,Drama,Thriller",Nominee,1970,18289,6.6,137
Five Easy Pieces,Drama,Nominee,1970,35199,7.5,98
Love Story,"Drama,Romance",Nominee,1970,32681,6.9,100
M*A*S*H,"Comedy,Drama,War",Nominee,1970,69897,7.5,116
The French Connection,"Action,Crime,Drama",Winner,1971,115341,7.7,104
A Clockwork Orange,"Crime,Drama,Sci-Fi",Nominee,1971,783346,8.3,136
Fiddler on the Roof,"Drama,Family,Musical",Nominee,1971,41233,8,181
The Last Picture Show,"Drama,Romance",Nominee,1971,44843,8,118
Nicholas and Alexandra,"Biography,Drama,History",Nominee,1971,4671,7.2,183
The Godfather,"Crime,Drama",Winner,1972,1697396,9.2,175
Cabaret,"Drama,Music,Musical",Nominee,1972,51698,7.8,124
Deliverance,"Adventure,Drama,Thriller",Nominee,1972,102934,7.7,109
The Emigrants,"Drama,History",Nominee,1971,6121,8,151
Sounder,"Drama,Family",Nominee,1972,3920,7.6,105
The Sting,"Comedy,Crime,Drama",Winner,1973,249856,8.3,129
American Graffiti,"Comedy,Drama",Nominee,1973,85117,7.4,110
Cries and Whispers,Drama,Nominee,1972,32122,8.1,91
The Exorcist,Horror,Nominee,1973,375156,8,122
A Touch of Class,"Comedy,Romance",Nominee,1973,2991,6.5,106
The Godfather Part II,"Crime,Drama",Winner,1974,1178981,9,202
