"Film","Movie.Genre","IMDB.Rating","Audience.Count","Movie.Time"
"Fatal Attraction","Drama,Thriller",6.9,53027,119
"Hope and Glory","Comedy,Drama,Romance",7.3,NA,113
"Moonstruck","Comedy,Drama,Romance",7.1,44806,102
"Rain Man","Drama",8,314120,133
"The Accidental Tourist","Drama,Romance",6.8,6208,121
"Dangerous Liaisons","Drama,Romance",7.6,46589,119
"Mississippi Burning","Crime,Drama,History",7.8,39455,128
"Working Girl","Comedy,Drama,Romance",6.8,33603,113
"Driving Miss Daisy","Drama",7.4,NA,99
"Born on the Fourth of July","Biography,Drama,War",7.2,59360,145
"Dead Poets Society","Comedy,Drama",8.1,307114,128
"Field of Dreams","Drama,Family,Fantasy",7.5,192920,107
"My Left Foot","Biography,Drama",7.9,26763,103
"Dances with Wolves","Adventure,Drama,Western",8,NA,181
"Awakenings","Biography,Drama",7.8,55182,121
"Ghost","Drama,Fantasy,Romance",7.1,469588,127
"The Godfather Part III","Crime,Drama",7.6,NA,162
"Goodfellas","Biography,Crime,Drama",8.7,NA,146
"The Silence of the Lambs","Crime,Drama,Thriller",8.6,847028,118
"Beauty and the Beast","Animation,Family,Fantasy",8,760077,84
"Bugsy","Biography,Crime,Drama",6.8,10228,136
"JFK","Drama,History,Thriller",8,62583,189
"The Prince of Tides","Drama,Romance",6.7,9233,132
"Unforgiven","Drama,Western",8.2,122729,130
"The Crying Game","Crime,Drama,Romance",7.3,31834,112
"A Few Good Men","Drama,Thriller",7.7,325423,138
"Howards End","Drama,Romance",7.4,13673,142
"Scent of a Woman","Drama",8,119250,156
"Schindler's List","Biography,Drama,History",8.9,411608,195
"The Fugitive","Action,Crime,Drama",7.8,267812,130
"In the Name of the Father","Biography,Crime,Drama",8.1,41328,133
"The Piano","Drama,Music,Romance",7.6,48469,121
"The Remains of the Day","Drama,Romance",7.8,24343,134
"Forrest Gump","Drama,Romance",8.8,1244237,142
"Four Weddings and a Funeral","Comedy,Drama,Romance",7.1,185024,117
"Pulp Fiction","Crime,Drama",8.9,1127813,154
"Quiz Show","Biography,Drama,History",7.5,31595,133
"The Shawshank Redemption","Drama",9.3,886485,142
"Braveheart","Biography,Drama,History",8.3,32708456,178
"Apollo 13","Adventure,Drama,History",7.6,432986,140
"Babe","Comedy,Drama,Family",6.8,508807,91
"The Postman (Il Postino)","Biography,Comedy,Drama",7.7,NA,108
"Sense and Sensibility","Drama,Romance",7.7,NA,136
"The English Patient","Drama,Romance,War",7.4,81711,162
"Fargo","Crime,Drama,Thriller",8.1,234273,98
"Jerry Maguire","Comedy,Drama,Romance",7.3,NA,139
"Secrets & Lies","Comedy,Drama",8,NA,136
"Shine","Biography,Drama,Music",7.7,30884,105
"Titanic","Drama,Romance",7.8,35797635,194
"As Good as It Gets","Comedy,Drama,Romance",7.7,378698,139
"The Full Monty","Comedy,Drama",7.2,180109,91
"Good Will Hunting","Drama,Romance",8.3,364798,126
"L.A. Confidential","Crime,Drama,Mystery",8.2,150735,138
"Shakespeare in Love","Comedy,Drama,History",7.1,226989,123
"Elizabeth","Biography,Drama,History",7.4,63472,124
"Life Is Beautiful","Comedy,Drama,Romance",8.6,NA,116
"Saving Private Ryan","Drama,War",8.6,993261,169
"The Thin Red Line","Drama,War",7.6,148681,170
"American Beauty","Drama",8.3,660578,122
"The Cider House Rules","Drama,Romance",7.4,53501,126
"The Green Mile","Crime,Drama,Fantasy",8.6,813775,189
"The Insider","Biography,Drama,Thriller",7.8,59195,157
"The Sixth Sense","Drama,Mystery,Thriller",8.1,1036685,107
"Gladiator","Action,Adventure,Drama",8.5,34128168,155
"Chocolat","Drama,Romance",7.2,328939,121
"Crouching Tiger, Hidden Dragon","Action,Adventure,Fantasy",7.8,NA,120
"Erin Brockovich","Biography,Drama",7.4,418647,131
"Traffic","Crime,Drama,Thriller",7.6,190385,147
"A Beautiful Mind","Biography,Drama",8.2,490923,135
"Gosford Park","Comedy,Drama,Mystery",7.2,48527,131
"In the Bedroom","Crime,Drama",7.4,20122,131
"The Lord of the Rings: The Fellowship of the Ring","Action,Adventure,Drama",8.8,1355751,178
"Moulin Rouge!","Drama,Musical,Romance",7.6,505231,127
"Chicago","Comedy,Crime,Musical",7.2,439544,113
"Gangs of New York","Crime,Drama",7.5,294323,167
"The Hours","Drama,Romance",7.5,85936,110
"The Lord of the Rings: The Two Towers","Action,Adventure,Drama",8.7,1341428,179
"The Pianist","Biography,Drama,Music",8.5,253230,150
"The Lord of the Rings: The Return of the King","Action,Adventure,Drama",8.9,34679773,201
"Lost in Translation","Comedy,Drama",7.7,NA,102
"Master and Commander: The Far Side of the World","Action,Adventure,Drama",7.4,141077,138
"Mystic River","Crime,Drama,Mystery",7.9,203535,138
"Seabiscuit","Drama,History,Sport",7.3,118428,140
"Million Dollar Baby","Drama,Sport",8.1,405053,132
"The Aviator","Biography,Drama",7.5,207578,170
"Finding Neverland","Biography,Drama,Family",7.7,465413,106
"Ray","Biography,Drama,Music",7.7,214558,152
"Sideways","Comedy,Drama,Romance",7.5,197689,127
"Crash","Crime,Drama,Thriller",7.7,442331,112
"Brokeback Mountain","Drama,Romance",7.7,519853,134
"Capote","Biography,Crime,Drama",7.3,115946,114
"Good Night, and Good Luck","Biography,Drama,History",7.4,NA,93
"Munich","Action,Drama,History",7.5,330206,164
"The Departed","Crime,Drama,Thriller",8.5,737806,151
"Babel","Drama",7.4,377310,143
"Letters from Iwo Jima","Action,Adventure,Drama",7.9,341085,141
"Little Miss Sunshine","Comedy,Drama",7.8,427127,101
"The Queen","Biography,Drama,History",7.3,175607,103
"No Country for Old Men","Crime,Drama,Thriller",8.1,399154,122
"Atonement","Drama,Mystery,Romance",7.8,227149,123
"Juno","Comedy,Drama",7.4,549481,96
"Michael Clayton","Crime,Drama,Mystery",7.2,299971,119
"There Will Be Blood","Drama",8.2,255192,158
"Slumdog Millionaire","Drama,Romance",8,1155769,120
"The Curious Case of Benjamin Button","Drama,Fantasy,Romance",7.8,690720,166
"Frost/Nixon","Biography,Drama,History",7.7,109836,122
"Milk","Biography,Drama",7.5,178019,128
"The Reader","Drama,Romance",7.6,206910,124
"The Hurt Locker","Drama,Thriller,War",7.5,NA,131
"Avatar","Action,Adventure,Fantasy",7.8,1382566,162
"The Blind Side","Biography,Drama,Sport",7.6,431835,129
"District 9","Action,Sci-Fi,Thriller",7.9,1178535,112
"An Education","Drama",7.3,54962,100
"Inglourious Basterds","Adventure,Drama,War",8.3,775878,153
"Precious: Based on the Novel 'Push' by Sapphire","Drama",7.3,NA,110
"A Serious Man","Comedy,Drama",7.1,63118,106
"Up","Animation,Adventure,Comedy",8.2,1204027,96
"Up in the Air","Comedy,Drama,Romance",7.4,228473,109
